,rating,genre
Geometry Wars 3: Dimensions,E,Action
Ghostbusters,E10+,Action
Giana Sisters: Dream Runners,E,Action
Giana Sisters: Twisted Dreams - Director's Cut,E,Action
Goat Simulator,T,Simulation
Goat Simulator: Mmore Goatz Edition,T,Simulation
Gone Home: Console Edition,M,Adventure
Grand Theft Auto Online,,Action Adventure
Grand Theft Auto V,M,Action Adventure
Grim Legends: The Forsaken Bride,T,Puzzle
Grow Up,E,Action Adventure
Gryphon Knight Epic,E10+,Action
Guacamelee! Super Turbo Championship Edition,E10+,Action
Guitar Hero Live,T,Action
Gunscape,T,Action
GunWorld 2,E10+,Action
Halo 5: Guardians,T,Action
Halo: Spartan Assault,T,Action
Just Dance 2014,E10+,Miscellaneous
Just Dance 2015,E10+,Action
Just Dance 2016,E10+,Action
Kaiju Panic,E10+,Strategy
Kalimba,E,Action
Kerbal Space Program,E,Simulation
Kick & Fennick,E10+,Action
Killer Instinct,T,Action
Killer Instinct Season 2,T,Action
Killer Instinct Season 3,,Action
Killer Instinct: Definitive Edition,M,Action
Kinect Sports Rivals,E10+,Sports
King Oddball,E10+,Puzzle
King's Quest Chapter 1: A Knight to Remember,E10+,Adventure
King's Quest Chapter 2: Rubble Without a Cause,E10+,Adventure
King's Quest Chapter 3: Once Upon a Climb,,Adventure
Kingdom: New Lands,E10+,Strategy
Knight Squad,T,Action
Kung Fu Panda: Showdown of Legendary Legends,E10+,Action
Kung-Fu for Kinect,E10+,Miscellaneous
LA Cops,M,Action
Land It!,,Simulation
Lara Croft and the Temple of Osiris,T,Action
Laserlife,E,Action
Layers of Fear,M,Adventure
Layers of Fear: Inheritance,M,Adventure
LEGO Batman 3: Beyond Gotham,E10+,Action Adventure
LEGO Dimensions,E10+,Action Adventure
LEGO Jurassic World,E10+,Action Adventure
LEGO Marvel Super Heroes,E10+,Action Adventure
LEGO Marvel's Avengers,E10+,Action Adventure
LEGO Star Wars: The Force Awakens,E10+,Action Adventure
LEGO The Hobbit,E10+,Historic
Leo's Fortune,,Action
Letter Quest: Grimm's Journey Remastered,E,Puzzle
Lichdom: Battlemage,M,Role-Playing
Life is Strange,M,Sci-Fi
Life is Strange: Episode 1 - Chrysalis,M,Action Adventure
Life is Strange: Episode 2 - Out of Time,M,Action Adventure
Life is Strange: Episode 3 - Chaos Theory,M,Action Adventure
Life is Strange: Episode 4 - Dark Room,M,Action Adventure
Life is Strange: Episode 5 - Polarized,M,Action Adventure
Lifeless Planet: Premier Edition,T,Action Adventure
LIMBO,T,Action
LocoCycle,T,Sports
Lords of the Fallen,M,Role-Playing
Lost Sea,E10+,Strategy
Lovely Planet,,Action
Lovers in a Dangerous Spacetime,E10+,Miscellaneous
Lumo,E10+,Action
Mad Max,M,Action
Madden NFL 15,E,Sports
Madden NFL 16,E,Sports
Madden NFL 17,E,Sports
Madden NFL 25,E,Sports
Mafia III,M,Action Adventure
Magic Duels: Origins,T,Strategy
Magic: Duels of the Planeswalkers 2015,T,Strategy
Magnetic: Cage Closed,T,Adventure
MagNets: Fully Charged,E10+,Action
Maldita Castilla EX: Cursed Castilla,T,Action
Mantis Burn Racing,,Sports
Manual Samuel,T,Role-Playing
Mark McMorris Infinite Air,T,Sports
Marvel: Ultimate Alliance,T,Role-Playing
Marvel: Ultimate Alliance 2,T,Role-Playing
Masquerade: The Baubles of Doom,T,Action
Massive Chalice,T,Strategy
Max: The Curse of Brotherhood,E10+,Action Adventure
McDROID,E,Strategy
Mega Coin Squad,T,Action
Mega Man Legacy Collection,E,Miscellaneous
Metal Gear Solid V: Ground Zeroes,M,Action Adventure
Metal Gear Solid V: Metal Gear Online,,Action Adventure
Metal Gear Solid V: The Phantom Pain,M,Action Adventure
Metro Redux,M,Action
Metro: 2033 Redux,M,Action
Metro: Last Light Redux,M,Action
Middle-earth: Shadow of Mordor,M,Action Adventure
Middle-earth: Shadow of Mordor - The Bright Lord,M,Action Adventure
Mighty No. 9,E10+,Action
Minecraft: Story Mode - Episode 1: The Order of the Stone,E10+,Action Adventure
Minecraft: Story Mode - Episode 2: Assembly Required,E10+,Action Adventure
Minecraft: Story Mode - Episode 3: The Last Place You Look,E10+,Action Adventure
Minecraft: Story Mode - Episode 4: A Block and a Hard Place,E10+,Action Adventure
Minecraft: Story Mode - Episode 5: Order Up!,E10+,Action Adventure
Minecraft: Story Mode - Episode 6: A Portal to Mystery,E10+,Action Adventure
Minecraft: Story Mode - Episode 7: Access Denied,E10+,Action Adventure
Minecraft: Xbox One Edition,E10+,Action Adventure
Mirror's Edge Catalyst,T,Action
Mitsurugi Kamui Hikae,T,Action
Monochroma,T,Action
Monopoly Plus,E,Miscellaneous
Monopoly: Family Fun Pack,E,Miscellaneous
Mortal Kombat X,M,Action
Mortal Kombat XL,M,Action
