,rating,genre
Sakura Angels,,Adventure
Sakura Clicker,,Action
Sakura Fantasy,,Adventure
Sakura Spirit,,Miscellaneous
Salammbo: Battle of Carthage,T,Adventure
Salt Lake 2002,E,Sports
Salvation Prophecy,,Simulation
Salvo!,,Action Adventure
Sam & Max Episode 101: Culture Shock,T,Adventure
Sam & Max Episode 102: Situation: Comedy,T,Adventure
Sam & Max Episode 104: Abe Lincoln Must Die!,,Adventure
Sam & Max Episode 105: Reality 2.0,,Adventure
Sam & Max Episode 106: Bright Side of the Moon,T,Adventure
Sam & Max Episode 201: Ice Station Santa,T,Adventure
Sam & Max Episode 202: Moai Better Blues,T,Adventure
Sam & Max Episode 203: Night of the Raving Dead,T,Adventure
Sam & Max Episode 204: Chariots of the Dogs,T,Adventure
Sam & Max: Season One,T,Miscellaneous
UberSoldier,M,Action
UberSoldier II,M,Action
UEFA Euro 2004: Portugal,E,Sports
UEFA Euro 2012,E,Sports
UFO: Afterlight,T,Strategy
UFO: Aftermath,T,Strategy
UFO: Aftershock,T,Strategy
UFO: Extraterrestrials,E10+,Strategy
Ultima Online,M,Role-Playing
Ultima Online: Age of Shadows,T,Role-Playing
Ultima Online: Lord Blackthorn's Revenge,T,Role-Playing
Ultima Online: Samurai Empire,T,Role-Playing
Ultima Online: Third Dawn,T,Role-Playing
Ultimate General: Gettysburg,,Strategy
Ultimate Ride,E,Action
Ultimate Ride Coaster Deluxe,E,Strategy
Ultimate Ride: Disney Coaster,E,Strategy
Ultimate Spider-Man,T,Action
Unbox,,Action
Uncanny Valley,,Action Adventure
Uncommon Valor: Campaign for the South Pacific,E,Strategy
VA-11 Hall-A: Cyberpunk Bartender Action,,Simulation
Valdis Story: Abyssal City,,Action
Valhalla Chronicles,T,Role-Playing
Valhalla Hills,,Strategy
Valkyria Chronicles,T,General
Vampire: The Masquerade - Bloodlines,M,Role-Playing
Vampire: The Masquerade - Redemption,M,Role-Playing
Van Helsing I: Complete Pack,,Role-Playing
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,E,Sports
Vanguard: Saga of Heroes,T,Role-Playing
Vector,,Action
Vector Thrust,,Miscellaneous
Vegas Tycoon,T,Strategy
Velvet Assassin,M,Action
Vendetta Online,T,Role-Playing
Vendetta: Curse of Raven's Cry,,Strategy
Venetica,T,Role-Playing
Wailing Heights,,Adventure
WAKFU,,Role-Playing
Waking Mars,,Action
WALL-E,E,Action
Wanda - A Beautiful Apocalypse,,Role-Playing
Wanderlust: Rebirth,,Role-Playing
Wanted: A Wild Western Adventure,E,Action Adventure
Wanted: Weapons of Fate,M,Action
War for the Overworld,,Strategy
War Front: Turning Point,T,Strategy
War Inc. Battle Zone,,Action
War Leaders: Clash of Nations,T,Strategy
War of the Immortals,,Role-Playing
War of the Roses,RP,Action
War of the Vikings,RP,Action
War Rock,T,Action
War Times,T,Strategy
War World: Tactical Combat,,Action
WarBirds III,,Simulation
X Rebirth,T,Simulation
X-Blades,M,Action
X-COM: Enforcer,T,Action
X-Men Legends II: Rise of Apocalypse,T,Role-
