title,platform,genre,metascore,userscore,rating,developer
Call of Duty: Advanced Warfare - Ascendance,Xbox One,Action,75,7.2,M,Sledgehammer Games
Call of Duty: Advanced Warfare - Havoc,Xbox One,Action,72,6.7,M,Sledgehammer Games
Call of Duty: Advanced Warfare - Reckoning,Xbox One,Action,75,6.3,,Sledgehammer Games
Call of Duty: Advanced Warfare - Supremacy,Xbox One,Action,71,6.9,,
Call of Duty: Black Ops III,Xbox One,Action,81,4.4,M,Treyarch
Call of Duty: Black Ops III - Awakening,Xbox One,Action,No score yet,tbd,M,Treyarch
Call of Duty: Black Ops III - Gold Edition,Xbox One,Action,No score yet,tbd,M,Treyarch
Call of Duty: Black Ops III - Salvation,Xbox One,Action,No score yet,tbd,,Treyarch
Call of Duty: Black Ops III - The Giant,Xbox One,Action,No score yet,tbd,,Treyarch
Call of Duty: Black Ops III: Eclipse,Xbox One,Action,No score yet,tbd,,Treyarch
Call of Duty: Ghosts,Xbox One,Action,78,4.3,M,Infinity Ward
Call of Duty: Ghosts - Devastation,Xbox One,Action,70,5.6,M,Infinity Ward
Call of Duty: Ghosts - Invasion,Xbox One,Action,73,6.5,M,Infinity Ward
Call of Duty: Ghosts - Nemesis,Xbox One,Action,No score yet,tbd,,Infinity Ward
Call of Duty: Ghosts - Onslaught,Xbox One,Action,65,4.2,M,Infinity Ward
Call of Duty: Infinite Warfare,Xbox One,Action,No score yet,,M,Infinity Ward
Call of Duty: Infinite Warfare - Legacy Pro Edition,Xbox One,Action,No score yet,,M,Infinity Ward
Cannon Brawl,Xbox One,Strategy,No score yet,tbd,E,Turtle Sandbox LLC
Carmageddon: Max Damage,Xbox One,Racing,52,7.1,M,Stainless Games
Cartoon Network: Battle Crashers,Xbox One,Action,No score yet,,E10+,Magic Pockets
Casey Powell Lacrosse 16,Xbox One,Sports,60,8.6,E,Big Ant Studios
Cast of the Seven Godsends: Redux,Xbox One,Action,61,tbd,T,Raven Travel Studios
Castle Crashers Remastered,Xbox One,Action,83,7.0,T,The Behemoth
Castle Invasion: Throne Out,Xbox One,Strategy,No score yet,tbd,E,Cat Trap Studios
Castles,Xbox One,Puzzle,No score yet,tbd,E,Badland Games
CastleStorm: Definitive Edition,Xbox One,Strategy,69,7.0,T,Zen Studios
Cel Damage HD,Xbox One,Simulation,57,tbd,,Finish Line Games
Chariot,Xbox One,Action,73,7.6,E,Frima Studio
