title,platform,link
Batman: The Telltale Series - Episode 3: New World Order,xbox,http://static.metacritic.com/images/products/games/8/bbc54701a9e9419c50d584865950173d-98.jpg
Batman: The Telltale Series - Episode 4: Guardian of Gotham,xbox,http://static.metacritic.com/images/products/games/3/27b44528fbab04dc0787821f656c1da1-98.jpg
Battle Ages,xbox,http://static.metacritic.com/images/products/games/8/44efc6abf50325bfdba3fcd9cf7f6dea-98.jpg
Battle High 2 A+,xbox,http://static.metacritic.com/images/products/games/4/663e13730ad722d1dc575933fedac4af-98.jpg
Battle Islands,xbox,http://static.metacritic.com/images/products/games/9/af02ba562aad20fc269169504a3ce82f-98.jpg
Battle Worlds: Kronos,xbox,http://static.metacritic.com/images/products/games/5/0c436542c415807846eb18eaf11e1c49-98.jpg
Battleborn,xbox,http://static.metacritic.com/images/products/games/4/9c8d5c6cf03b0017d16e77051ed0299b-98.jpg
Battleborn - Attikus and the Thrall Rebellion,xbox,http://static.metacritic.com/images/products/games/9/39fdaca180973aafe866914f772d3d27-98.jpg
Battlefield 1,xbox,http://static.metacritic.com/images/products/games/2/2b1c2127598d3323b26e234ac7b0a6eb-98.jpg
Battlefield 4,xbox,http://static.metacritic.com/images/products/games/8/f57dbfb57eb7b39c546e720b0a79bd31-98.jpg
Battlefield 4: China Rising,xbox,http://static.metacritic.com/images/products/games/9/a78ac32e8359c5bbe8714fff48b82ddb-98.jpg
Battlefield 4: Community Operations,xbox,http://static.metacritic.com/images/products/games/4/6dbcb9a992bff076ec753db989a3b3f9-98.jpg
Battlefield 4: Dragon's Teeth,xbox,http://static.metacritic.com/images/products/games/0/20e6ea792fb30ae2d0bb2578da753e86-98.jpg
Battlefield 4: Final Stand,xbox,http://static.metacritic.com/images/products/games/9/a8665a075d4826ab450b561599acf70b-98.jpg
Battlefield 4: Legacy Operations,xbox,http://static.metacritic.com/images/products/games/6/0d9d70fafe151ff85df2ddb45880f2e3-98.jpg
Battlefield 4: Naval Strike,xbox,http://static.metacritic.com/images/products/games/7/81dcf81f09e7d667191c6c7ab50be1a7-98.jpg
Battlefield 4: Night Operations,xbox,http://static.metacritic.com/images/products/games/5/b34a3fc0c6ed4e1bc7828986de708a9f-98.jpg
Battlefield 4: Premium Edition,xbox,http://static.metacritic.com/images/products/games/2/9db9fce62333dedb8a17ff363f7f6523-98.jpg
Battlefield 4: Second Assault,xbox,http://static.metacritic.com/images/products/games/3/7d0761eda5d3e701c54ad35421caaf0d-98.jpg
Battlefield Hardline,xbox,http://static.metacritic.com/images/products/games/7/368bc59406bcb79ac405b97c434ee570-98.jpg
Battlefield Hardline: Criminal Activity,xbox,http://static.metacritic.com/images/products/games/9/8e72af0a2d27062e4bbae67bc5eedf2c-98.jpg
Battlefield Hardline: Getaway,xbox,http://static.metacritic.com/images/products/games/8/b42491285a6d029cf893ac10923042e2-98.jpg
Battlefield Hardline: Robbery,xbox,http://static.metacritic.com/images/products/games/0/0205a9235b9531ffdd7477584407fefb-98.jpg
Battleship,xbox,http://static.metacritic.com/images/products/games/3/e1cce1796bfd9aa0eb359ba18460c7bc-98.jpg
Beach Buggy Racing,xbox,http://static.metacritic.com/images/products/games/1/b279eec4a2913d6df210432fd8a64f67-98.jpg
Beatbuddy: Tale of the Guardians,xbox,http://static.metacritic.com/images/products/games/2/a2209d89191b4ebd5cbb41864d169c80-98.jpg
Beatsplosion for Kinect,xbox,http://static.metacritic.com/images/products/games/2/93bfa5ee4fbfb8f2f32c9f333eae28c8-98.jpg
Ben-Hur,xbox,http://static.metacritic.com/images/products/games/6/a6d674c9e3e2a4f2473e8142424cfc32-98.jpg
Beyond Eyes,xbox,http://static.metacritic.com/images/products/games/7/9d9ce902e317941c09dbe654ab8f899c-98.jpg
Big Buck Hunter Arcade,xbox,http://static.metacritic.com/images/products/games/6/e954314faf94eaab9e42e362628762c7-98.jpg
Bike Mayhem 2,xbox,http://static.metacritic.com/images/products/games/3/dde8bd89d26f478afdbb5a51032967ed-98.jpg
Binaries,xbox,http://static.metacritic.com/images/products/games/2/82d6bca9342c126760e011475fe1c4a0-98.jpg
BioShock: The Collection,xbox,http://static.metacritic.com/images/products/games/7/3d17e0d7736053904674558cc1431024-98.jpg
Bladestorm: Nightmare,xbox,http://static.metacritic.com/images/products/games/8/427582f67283365a65d6925d722576d7-98.jpg
Blast 'Em Bunnies,xbox,http://static.metacritic.com/images/products/games/0/901c0a658e44bbf3e8ac69f3abb950bd-98.jpg
Blast Brawl 2,xbox,http://static.metacritic.com/images/products/games/0/30697fbf304fcf79a0e086deea6daf9f-98.jpg
BlazBlue: Chrono Phantasma Extend,xbox,http://static.metacritic.com/images/products/games/3/eb40777bf92fcb155423e931a6d8ccc8-98.jpg
Blood Bowl 2,xbox,http://static.metacritic.com/images/products/games/0/d32600a23e46122952673e0392e7ca39-98.jpg
Blue Estate,xbox,http://static.metacritic.com/images/products/games/0/b8a61cdebac391720138c0719151a220-98.jpg
Blue Rider,xbox,http://static.metacritic.com/images/products/games/6/d480ae338fe3384f0f4f665c97d36242-98.jpg
Blues and Bullets - Episode 1: The End of Peace,xbox,http://static.metacritic.com/images/products/games/3/8bf958d4a3c8c764ee0a2ea764d909b8-98.jpg
Blues and Bullets - Episode 2: Shaking The Hive,xbox,http://static.metacritic.com/images/products/games/98w-game.jpg
Boggle,xbox,http://static.metacritic.com/images/products/games/1/3df18900e26fd8c8cad89ad8b8b77306-98.jpg
Bombing Busters,xbox,http://static.metacritic.com/images/products/games/98w-game.jpg
Boom Ball for Kinect,xbox,http://static.metacritic.com/images/products/games/3/f55a41416de4b8e5a25fba78fab0f400-98.jpg
Borderlands 2,xbox,http://static.metacritic.com/images/products/games/5/822c6ec3f029726331a8516164b0e28c-98.jpg
Borderlands: The Handsome Collection,xbox,http://static.metacritic.com/images/products/games/7/5c95fe7e4386526d50257843e959eed2-98.jpg
Breach & Clear: Deadline,xbox,http://static.metacritic.com/images/products/games/6/02f0f9e0b4fe96ff77cb93d114df5a90-98.jpg
Brick Breaker,xbox,http://static.metacritic.com/images/products/games/6/4289d11e316800df943dee3e8e7573ed-98.jpg
Bridge Constructor,xbox,http://static.metacritic.com/images/products/games/1/67d172080e3198536025a6f7a29b6689-98.jpg
Bridge Constructor Stunts,xbox,http://static.metacritic.com/images/products/games/2/b5e938622140214c9abf5ddcb53b37fb-98.jpg
Broken Sword 5: The Serpent's Curse,xbox,http://static.metacritic.com/images/products/games/7/eb4475581151618fafbe2d7bcad9ac2f-98.jpg
Brothers: A Tale of Two Sons,xbox,http://static.metacritic.com/images/products/games/0/ca1e107bbf7db933341ce13db36362f1-98.jpg
Brunswick Pro Bowling,xbox,http://static.metacritic.com/images/products/games/9/fa4f9447db73f23bdd9e56e97f9e0a11-98.jpg
Bulletstorm: Full Clip Edition,xbox,http://static.metacritic.com/images/products/games/0/1f072e72805726c738413676e224453a-98.jpg
Cabela's African Adventures,xbox,http://static.metacritic.com/images/products/games/1/9cb6189442679c9237d45c416e27e001-98.jpg
Call of Duty: Advanced Warfare,xbox,http://static.metacritic.com/images/products/games/9/df54e33f655e8dd47f702fede5f7e915-98.jpg
Call of Duty: Advanced Warfare - Ascendance,xbox,http://static.metacritic.com/images/products/games/1/bbef259b06f7e54e3bf0f805166609af-98.jpg
Call of Duty: Advanced Warfare - Havoc,xbox,http://static.metacritic.com/images/products/games/9/0ae069f8533335c3dc6d59b7d3718848-98.jpg
Call of Duty: Advanced Warfare - Reckoning,xbox,http://static.metacritic.com/images/products/games/3/be18ee58247ad189b725b8c7aa839789-98.jpg
Call of Duty: Advanced Warfare - Supremacy,xbox,http://static.metacritic.com/images/products/games/98w-game.jpg
Call of Duty: Black Ops III,xbox,http://static.metacritic.com/images/products/games/2/b664e2a78ec496c82231116d64f68f09-98.jpg
Call of Duty: Black Ops III - Awakening,xbox,http://static.metacritic.com/images/products/games/4/726320352fd179695d57c60ffa281c08-98.jpg
Call of Duty: Black Ops III - Gold Edition,xbox,http://static.metacritic.com/images/products/games/1/c027eb823eff0d2a3a4dd23d95a2add3-98.jpg
Call of Duty: Black Ops III - Salvation,xbox,http://static.metacritic.com/images/products/games/3/527d7ac54e578c9b147ff3ee32813d9a-98.jpg
Call of Duty: Black Ops III - The Giant,xbox,http://static.metacritic.com/images/products/games/8/ea0375d0b87b6c607920dac2306e2725-98.jpg
Call of Duty: Black Ops III: Eclipse,xbox,http://static.metacritic.com/images/products/games/6/7cabca6fd39c42717d77929ea27b7996-98.jpg
Call of Duty: Ghosts,xbox,http://static.metacritic.com/images/products/games/5/ed7158633c9dbf43bdd838fdb9067360-98.jpg
Call of Duty: Ghosts - Devastation,xbox,http://static.metacritic.com/images/products/games/9/c0ec285168b6219eaea61dae2f80caa6-98.jpg
Call of Duty: Ghosts - Invasion,xbox,http://static.metacritic.com/images/products/games/98w-game.jpg
Call of Duty: Ghosts - Nemesis,xbox,http://static.metacritic.com/images/products/games/98w-game.jpg
Call of Duty: Ghosts - Onslaught,xbox,http://static.metacritic.com/images/products/games/6/9cc1b0fa03c44e76d32b443b70b0ac5d-98.jpg
Call of Duty: Infinite Warfare,xbox,http://static.metacritic.com/images/products/games/0/67b8fc2475b59ef5d04ec0940a9f1dc2-98.jpg
Call of Duty: Infinite Warfare - Legacy Pro Edition,xbox,http://static.metacritic.com/images/products/games/2/0a74c1019691633700bdfef826d8eb4b-98.jpg
Call of Duty: Modern Warfare Remastered,xbox,http://static.metacritic.com/images/products/games/9/ca823345f76a9e73ee8653401e820ee7-98.jpg
Cannon Brawl,xbox,http://static.metacritic.com/images/products/games/7/abf567ff525bcfa13911c24db39aef85-98.jpg
Carmageddon: Max Damage,xbox,http://static.metacritic.com/images/products/games/5/038c0469b2f5177f10dd78e826a35837-98.jpg
Cartoon Network: Battle Crashers,xbox,http://static.metacritic.com/images/products/games/4/b1e44cb7816a18ea94c7bc26c90fe50b-98.jpg
Casey Powell Lacrosse 16,xbox,http://static.metacritic.com/images/products/games/7/01ebc6df484fbba21dd69350ea244268-98.jpg
Cast of the Seven Godsends: Redux,xbox,http://static.metacritic.com/images/products/games/5/8583c6988e1af88c0f9ecb1760d996df-98.jpg
Castle Crashers Remastered,xbox,http://static.metacritic.com/images/products/games/4/dc9b1411756a6371c367c963d473d845-98.jpg
Castle Invasion: Throne Out,xbox,http://static.metacritic.com/images/products/games/8/fe2698bfb976778d0205d154dfe3936e-98.jpg
Castles,xbox,http://static.metacritic.com/images/products/games/0/e10a13a1a2136aa7fe84ab2802925162-98.jpg
CastleStorm: Definitive Edition,xbox,http://static.metacritic.com/images/products/games/2/43457f8d85cd7284b0f025f0477da70c-98.jpg
Cel Damage HD,xbox,http://static.metacritic.com/images/products/games/5/b49b6369101a00da3b73f364035bb854-98.jpg
Chariot,xbox,http://static.metacritic.com/images/products/games/0/610f124fc35816cbefa84de69c2eb00c-98.jpg
Child of Light,xbox,http://static.metacritic.com/images/products/games/4/9b42767f90ff468832120a36e48cf135-98.jpg
Chivalry: Medieval Warfare,xbox,http://static.metacritic.com/images/products/games/8/3f7a71ca58d32236638eef618e22662d-98.jpg
Christopher Brookmyre's Bedlam,xbox,http://static.metacritic.com/images/products/games/5/af8ac285fad7898d9533bd1f21515269-98.jpg
Claire: Extended Cut,xbox,http://static.metacritic.com/images/products/games/6/9c05f3ec0b566241b3109544a1427cd4-98.jpg
Clash,xbox,http://static.metacritic.com/images/products/games/0/274a5eb59591c0cbeef13e08c509c2b4-98.jpg
Clockwork Tales: Of Glass and Ink,xbox,http://static.metacritic.com/images/products/games/0/5c969f8ddf55720837e44ce4bbce4cb5-98.jpg
Clouds & Sheep 2,xbox,http://static.metacritic.com/images/products/games/3/d37616210a2b6c43ca668be0317b1ffc-98.jpg
ClusterPuck99,xbox,http://static.metacritic.com/images/products/games/7/202d46846a2ad8018c756af170f74636-98.jpg
